atomic_number,element,mass_number,element_atomic_weight,isotope_atomic_mass,isotopic_composition
1,H,1,1.007975,1.007825032,0.999885
1,H,2,1.007975,2.014101778,0.000115
1,H,3,1.007975,3.016049278,
1,D,2,1.007975,2.014101778,
1,T,3,1.007975,3.016049278,
2,He,3,4.002602,3.01602932,0.00000134
2,He,4,4.002602,4.002603254,0.99999866
3,Li,6,6.9675,6.015122887,0.0759
3,Li,7,6.9675,7.016003437,0.9241
4,Be,9,9.0121831,9.012183065,1
5,B,10,10.8135,10.01293695,0.199
5,B,11,10.8135,11.00930536,0.801
6,C,12,12.0106,12,0.9893
6,C,13,12.0106,13.00335484,0.0107
6,C,14,12.0106,14.00324199,
7,N,14,14.006855,14.003074,0.99636
7,N,15,14.006855,15.0001089,0.00364
8,O,16,15.9994,15.99491462,0.99757
8,O,17,15.9994,16.99913176,0.00038
8,O,18,15.9994,17.99915961,0.00205
9,F,19,18.99840316,18.99840316,1
10,Ne,20,20.1797,19.99244018,0.9048
10,Ne,21,20.1797,20.99384669,0.0027
10,Ne,22,20.1797,21.99138511,0.0925
11,Na,23,22.98976928,22.98976928,1
12,Mg,24,24.3055,23.9850417,0.7899
12,Mg,25,24.3055,24.98583698,0.1
12,Mg,26,24.3055,25.98259297,0.1101
13,Al,27,26.9815385,26.98153853,1
14,Si,28,28.085,27.97692653,0.92223
14,Si,29,28.085,28.97649466,0.04685
14,Si,30,28.085,29.97377014,0.03092
15,P,31,30.973762,30.973762,1
16,S,32,32.0675,31.97207117,0.9499
16,S,33,32.0675,32.97145891,0.0075
16,S,34,32.0675,33.967867,0.0425
16,S,36,32.0675,35.96708071,0.0001
17,Cl,35,35.4515,34.96885268,0.7576
17,Cl,37,35.4515,36.9659026,0.2424
18,Ar,36,39.948,35.96754511,0.003336
18,Ar,38,39.948,37.96273211,0.000629
18,Ar,40,39.948,39.96238312,0.996035
19,K,39,39.0983,38.96370649,0.932581
19,K,40,39.0983,39.96399817,0.000117
